,0,1
39,2018-03-18 18:34:02,@Slate #Yahoo ! #GoStormyGo
40,2018-03-18 18:30:18,"It's About The Interface, Stupid #Yahoo: https://t.co/YTWV8D7Z7q #GOOG.US #United States #NASDAQ 100 Components… https://t.co/U6kVyUMxsB"
41,2018-03-18 18:27:00,"RT @sunnyherring1: This Should Shock &amp; Put Fear In Every American!
#DeepState Crime Cabal/Traitors=
#Dems/#DNC &amp; Govt Heads Planned/Execute…"
42,2018-03-18 18:18:48,"???????? SG??????????????????
https://t.co/rqM93aoeiz
?????? #???????? #RT???? #yauc ???? ????? ???? #???? #YAHOO
GUITAR MEMORIES ??????"
43,2018-03-18 18:18:35,"This Should Shock &amp; Put Fear In Every American!
#DeepState Crime Cabal/Traitors=
#Dems/#DNC &amp; Govt Heads Planned/Ex… https://t.co/AvlmIet6FF"
44,2018-03-18 18:17:27,CACI seeks to break up General Dynamics' acquisition of CSRA -sources #Yahoo: https://t.co/cQFtISUv1Z #GD.US #S&amp;P 5… https://t.co/M8oijoMSyy
45,2018-03-18 18:16:28,#Yahoo  When Is the First Day of Spring 2018 4 Things to Know About the Equinox https://t.co/ZbGaYCAiS2
46,2018-03-18 18:14:21,https://t.co/bBjrbgmpiP ? #YouTube #Video #Eurovision #Greece #song #entry 2018 #GreekLanguage #Twitter #Facebook… https://t.co/sVOQpwjfVP
47,2018-03-18 18:13:45,??????????????????Core2 Quad Q8200/Dual 2GB/500GB/DVD±R/Intel G31/ICH7 https://t.co/wRnwwEVVGS ?????? https://t.co/hJnRm5KVZ6 #Yahoo #???
48,2018-03-18 18:13:26,??????????????????Core2 Quad Q8200/Dual 2GB/500GB/DVD±R/Intel G31/ICH7 https://t.co/1IHQo8pAcB ?????? https://t.co/ParEI14Fdd #Yahoo #???
49,2018-03-18 18:06:35,#ABC #CBS #CNN #MSNBC #NBC #FoxNews #FoxBusiness #HuffPost #AOL #Yahoo #NYTImes #WaPo #latimes #Suntimes #NPR… https://t.co/hzeJj1sM8t
50,2018-03-18 18:05:50,#ABC #CBS #CNN #MSNBC #NBC #FoxNews #HuffPost #AOL #Yahoo #NYTImes #WaPo #latimes #women #Blacks #Latinos… https://t.co/KbccRBFO1w
51,2018-03-18 18:01:12,"Napoli, arrestati 3 minorenni per omicidio guardia giurata. ""Volevamo rubargli la pistola"" #Yahoo! Italia - https://t.co/mEdm1spGpD"
