Date,Open,High,Low,Close,Volume
10-Jan-18,1107,1112.78,1103.98,1110.14,1036655
11-Jan-18,1112.31,1114.85,1106.48,1112.05,1121216
12-Jan-18,1110.1,1131.3,1108.01,1130.65,1929306
16-Jan-18,1140.31,1148.88,1126.66,1130.7,1823100
17-Jan-18,1136.36,1139.32,1123.49,1139.1,1391510
18-Jan-18,1139.35,1140.58,1124.46,1135.97,1374873
19-Jan-18,1138.03,1143.78,1132.5,1143.5,1527554
22-Jan-18,1143.82,1166.88,1141.82,1164.16,1477520
23-Jan-18,1170.62,1178.51,1167.25,1176.17,1956865
24-Jan-18,1184.98,1187.05,1167.4,1171.29,1856429
25-Jan-18,1180.71,1185,1171.84,1182.14,1499247
26-Jan-18,1187.53,1187.56,1168.03,1187.56,2108502
29-Jan-18,1188,1198,1184.06,1186.48,1574708
30-Jan-18,1177.72,1187.93,1174.51,1177.37,1866883
31-Jan-18,1183.81,1186.32,1172.1,1182.22,1801135
1-Feb-18,1175.99,1187.45,1169.36,1181.59,3675709
2-Feb-18,1127.42,1131.3,1111.17,1119.2,5892122
5-Feb-18,1100.61,1114.99,1056.74,1062.39,4177469
6-Feb-18,1033.98,1087.38,1030.01,1084.43,3831524
7-Feb-18,1084.97,1086.53,1054.62,1055.41,2597094
8-Feb-18,1059.87,1063.93,1004.7,1007.71,3339601
9-Feb-18,1025.88,1051.72,997,1046.27,4917970
12-Feb-18,1056.67,1065.57,1045.49,1054.56,2812011
13-Feb-18,1050,1061.22,1046.92,1054.14,1579258
14-Feb-18,1054.32,1075.47,1049.8,1072.7,2065202
15-Feb-18,1083.45,1094.1,1067.23,1091.36,1869763
16-Feb-18,1093.38,1108.31,1091.55,1095.5,1997405
20-Feb-18,1092.76,1116.29,1090,1103.59,1687656
21-Feb-18,1109.1,1136.2,1107.51,1113.75,2074321
22-Feb-18,1119.17,1125.46,1105.15,1109.9,1400536
23-Feb-18,1118.66,1129,1108.44,1128.09,1264638
26-Feb-18,1131.86,1144.2,1129.34,1143.7,1545619
27-Feb-18,1143.7,1144.25,1116.79,1117.51,2148159
28-Feb-18,1122,1127.65,1103,1103.92,2464619
1-Mar-18,1109.54,1111.27,1067.28,1071.41,2766856
2-Mar-18,1057.98,1086.89,1050.11,1084.14,2508145
5-Mar-18,1078.13,1101.18,1072.27,1094.76,1432369
6-Mar-18,1102.1,1105.63,1094.5,1100.9,1169068
7-Mar-18,1092.82,1116.2,1089.91,1115.04,1537429
8-Mar-18,1117.2,1131.44,1117.2,1129.38,1693133
9-Mar-18,1139.5,1161,1134.29,1160.84,2133087
12-Mar-18,1165.05,1178.16,1159.2,1165.93,2196131
13-Mar-18,1171.83,1178,1134.57,1139.91,2156999
14-Mar-18,1145.8,1159.76,1142.35,1148.89,2093482
15-Mar-18,1149.57,1162.5,1135.66,1150.61,1669094
